Match,Winning Team,Player,Overs,Runs,Wickets,Econ,Wide,NB,Match ID
Pakistan vs Sri Lanka,Pakistan,Dilshan Madushanka,9.2,60,2,6.42,2,1,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Dasun Shanaka,5.0,28,0,5.6,0,0,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Matheesha Pathirana,9.0,90,1,10.0,9,0,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Dunith Wellalage,10.0,62,0,6.2,0,0,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Dhananjaya de Silva,4.0,36,0,9.0,0,0,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Charith Asalanka,1.0,10,0,10.0,0,0,ODI # 4665
Bangladesh vs England,England,Mustafizur Rahman,10.0,70,0,7.0,0,0,ODI # 4664
Bangladesh vs England,England,Taskin Ahmed,6.0,38,1,6.33,2,0,ODI # 4664
Bangladesh vs England,England,Shoriful Islam,10.0,75,3,7.5,1,0,ODI # 4664
Bangladesh vs England,England,Mahedi Hasan,8.0,71,4,8.87,0,0,ODI # 4664
Bangladesh vs England,England,Shakib Al Hasan,10.0,52,1,5.2,1,0,ODI # 4664
Bangladesh vs England,England,Mehidy Hasan Miraz,6.0,55,0,9.16,0,0,ODI # 4664
Bangladesh vs England,England,Chris Woakes,8.0,49,2,6.12,0,0,ODI # 4664
Bangladesh vs England,England,Reece Topley,10.0,43,4,4.3,0,0,ODI # 4664
Bangladesh vs England,England,Sam Curran,7.2,47,1,6.4,2,0,ODI # 4664
Bangladesh vs England,England,Mark Wood,10.0,29,1,2.9,1,0,ODI # 4664
Bangladesh vs England,England,Adil Rashid,10.0,42,1,4.2,0,0,ODI # 4664
Bangladesh vs England,England,Liam Livingstone,3.0,13,1,4.33,0,0,ODI # 4664
Netherlands vs New Zealand,New Zealand,Aryan Dutt,10.0,62,2,6.2,1,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Ryan Klein,7.0,41,0,5.85,1,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Paul van Meekeren,9.0,59,2,6.55,0,1,ODI # 4663
Netherlands vs New Zealand,New Zealand,Roelof van der Merwe,9.0,56,2,6.22,0,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Colin Ackermann,4.0,28,0,7.0,0,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Bas de Leede,10.0,64,1,6.4,0,1,ODI # 4663
Netherlands vs New Zealand,New Zealand,Vikramjit Singh,1.0,9,0,9.0,0,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Trent Boult,8.0,34,0,4.25,1,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Matt Henry,8.3,40,3,4.7,0,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Mitchell Santner,10.0,59,5,5.9,0,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Lockie Ferguson,8.0,32,0,4.0,0,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Rachin Ravindra,10.0,46,1,4.6,0,1,ODI # 4663
Netherlands vs New Zealand,New Zealand,Glenn Phillips,2.0,11,0,5.5,0,0,ODI # 4663
India vs Australia,India,Jasprit Bumrah,10.0,35,2,3.5,4,0,ODI # 4662
India vs Australia,India,Mohammed Siraj,6.3,26,1,4.0,2,0,ODI # 4662
India vs Australia,India,Hardik Pandya,3.0,28,1,9.33,0,0,ODI # 4662
India vs Australia,India,Ravichandran Ashwin,10.0,34,1,3.4,0,0,ODI # 4662
India vs Australia,India,Kuldeep Yadav,10.0,42,2,4.2,0,0,ODI # 4662
India vs Australia,India,Ravindra Jadeja,10.0,28,3,2.8,0,0,ODI # 4662
India vs Australia,India,Mitchell Starc,8.0,31,1,3.87,3,0,ODI # 4662
India vs Australia,India,Josh Hazlewood,9.0,38,3,4.22,1,0,ODI # 4662
India vs Australia,India,Pat Cummins,6.2,33,0,5.21,1,1,ODI # 4662
India vs Australia,India,Glenn Maxwell,8.0,33,0,4.12,0,0,ODI # 4662
India vs Australia,India,Cameron Green,2.0,11,0,5.5,0,0,ODI # 4662
India vs Australia,India,Adam Zampa,8.0,53,0,6.62,0,0,ODI # 4662
South Africa vs Sri Lanka,South Africa,Kasun Rajitha,10.0,90,1,9.0,2,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,Dilshan Madushanka,10.0,86,2,8.6,3,1,ODI # 4661
South Africa vs Sri Lanka,South Africa,Dasun Shanaka,6.0,36,0,6.0,0,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,Dhananjaya de Silva,4.0,39,0,9.75,1,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,Matheesha Pathirana,10.0,95,1,9.5,5,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,Dunith Wellalage,10.0,81,1,8.1,2,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,Lungi Ngidi,8.0,49,1,6.12,2,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,Marco Jansen,10.0,92,2,9.2,3,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,Kagiso Rabada,7.5,50,2,6.38,2,1,ODI # 4661
South Africa vs Sri Lanka,South Africa,Keshav Maharaj,10.0,62,2,6.2,2,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,Gerald Coetzee,9.0,68,3,7.55,1,0,ODI # 4661
Afghanistan vs Bangladesh,Bangladesh,Taskin Ahmed,6.0,32,1,5.33,1,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Shoriful Islam,6.2,34,2,5.36,2,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Mustafizur Rahman,7.0,28,1,4.0,0,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Shakib Al Hasan,8.0,30,3,3.75,0,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,9.0,25,3,2.77,1,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Mahmudullah,1.0,7,0,7.0,0,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Fazalhaq Farooqi,5.0,19,1,3.8,2,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Mujeeb Ur Rahman,7.0,30,0,4.28,0,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Naveen-ul-Haq,5.4,31,1,5.47,1,1,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Rashid Khan,9.0,48,0,5.33,0,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Mohammad Nabi,6.0,18,0,3.0,1,0,ODI # 4660
