Name,Age,Batting Style,Bowling Style,Playing Role
Richard Benjamin Richardson,61y 347d,Sir Richie Richardson,Right hand Bat,Right arm Medium
Dawid Johannes Malan,36y 113d,AC,Left hand Bat,Legbreak
Jonathan Marc Bairstow,34y 90d,Bluey,Right hand Bat,Right arm Medium
Joseph Edward Root,32y 360d,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter
Benjamin Andrew Stokes,32y 204d,Left hand Bat,Right arm Fast medium,Allrounder
Joseph Charles Buttler,33y 108d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Harry Cherrington Brook,24y 306d,Right hand Bat,Right arm Medium,Batter
Moeen Munir Ali,36y 190d,Moe,Left hand Bat,Right arm Offbreak
Christopher Roger Woakes,34y 298d,Right hand Bat,Right arm Fast medium,Allrounder
David Jonathan Willey,33y 300d,Left hand Bat,Left arm Fast medium,Bowling Allrounder
Angus Alexander Patrick Atkinson,25y 340d,Right hand Bat,Right arm Fast medium,Bowler
Adil Usman Rashid,35y 311d,"Dilly, Hoover",Right hand Bat,Legbreak
Shaheen Shah Afridi,23y 263d,Left hand Bat,Left arm Fast,Bowler
Haris Rauf,30y 48d,Right hand Bat,Right arm Fast,Bowler
Iftikhar Ahmed,33y 113d,Right hand Bat,Right arm Offbreak,Middle order Batter
Mohammad Wasim,22y 122d,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Shadab Khan,25y 82d,Right hand Bat,Legbreak,Allrounder
Agha Salman,30y 32d,Right hand Bat,Right arm Offbreak,Allrounder
Abdullah Shafique,24y 35d,Right hand Bat,Right arm Offbreak,Top order Batter
Fakhar Zaman,33y 259d,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Mohammad Babar Azam,29y 71d,Right hand Bat,Right arm Offbreak,Batter
Mohammad Rizwan,31y 207d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Saud Shakeel,28y 111d,Saud Shakil,Left hand Bat,Left arm Slow
Paul Wilson,51y 347d,Right hand Bat,Right arm Fast medium,"Umpire, Coach"
Sharfuddoula Ibne Shahid Saikat,47y 70d,Left hand Bat,Slow Left arm Orthodox,Umpire
Paul Ronald Reiffel,57y 250d,Pistol,Right hand Bat,Right arm Fast medium
Tanzid Hasan Tamim,23y 24d,Left hand Bat,Opening Batter,Batting & Fielding
Litton Kumer Das,29y 73d,Right hand Bat,Right arm Offbreak,Wicketkeeper
